level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	27	0	0	0	928	1487	33	24	-1	
3	1	27	1	0	0	928	1487	33	24	-1	
4	1	27	1	1	0	928	1487	33	24	-1	
5	1	27	1	1	1	928	1487	33	24	96.705544	40
2	1	28	0	0	0	1197	1480	41	32	-1	
3	1	28	1	0	0	1197	1480	41	32	-1	
4	1	28	1	1	0	1197	1480	41	32	-1	
5	1	28	1	1	1	1197	1480	41	32	0.000000	44
2	1	29	0	0	0	1271	1511	33	24	-1	
3	1	29	1	0	0	1271	1511	33	24	-1	
4	1	29	1	1	0	1271	1511	33	24	-1	
5	1	29	1	1	1	1271	1511	33	24	96.998779	42
2	1	30	0	0	0	850	1599	81	31	-1	
3	1	30	1	0	0	850	1599	81	31	-1	
4	1	30	1	1	0	850	1599	81	31	-1	
5	1	30	1	1	1	850	1599	81	31	45.013039	47
2	1	31	0	0	0	1076	1603	32	24	-1	
3	1	31	1	0	0	1076	1603	32	24	-1	
4	1	31	1	1	0	1076	1603	32	24	-1	
5	1	31	1	1	1	1076	1603	32	24	96.709686	46
2	1	32	0	0	0	849	1666	60	30	-1	
3	1	32	1	0	0	849	1666	60	30	-1	
4	1	32	1	1	0	849	1666	60	30	-1	
5	1	32	1	1	1	849	1666	60	30	0.000000	2
2	1	33	0	0	0	1075	1683	45	33	-1	
3	1	33	1	0	0	1075	1683	45	33	-1	
4	1	33	1	1	0	1075	1683	45	33	-1	
5	1	33	1	1	1	1075	1683	45	33	50.282867	7
2	1	34	0	0	0	1384	1695	32	24	-1	
3	1	34	1	0	0	1384	1695	32	24	-1	
4	1	34	1	1	0	1384	1695	32	24	-1	
5	1	34	1	1	1	1384	1695	32	24	95.489761	53
2	1	35	0	0	0	1048	1734	56	26	-1	
3	1	35	1	0	0	1048	1734	56	26	-1	
4	1	35	1	1	0	1048	1734	56	26	-1	
5	1	35	1	1	1	1048	1734	56	26	0.000000	58
2	1	36	0	0	0	1164	1802	54	24	-1	
3	1	36	1	0	0	1164	1802	54	24	-1	
4	1	36	1	1	0	1164	1802	54	24	-1	
5	1	36	1	1	1	1164	1802	54	24	0.000000	64
2	1	37	0	0	0	1599	1810	32	24	-1	
3	1	37	1	0	0	1599	1810	32	24	-1	
4	1	37	1	1	0	1599	1810	32	24	-1	
5	1	37	1	1	1	1599	1810	32	24	96.917747	65
2	1	38	0	0	0	604	1795	81	71	-1	
3	1	38	1	0	0	604	1795	81	71	-1	
4	1	38	1	1	0	604	1795	81	71	-1	
5	1	38	1	1	1	604	1795	81	71	53.472858	195
2	1	39	0	0	0	633	1818	32	24	-1	
3	1	39	1	0	0	633	1818	32	24	-1	
4	1	39	1	1	0	633	1818	32	24	-1	
5	1	39	1	1	1	633	1818	32	24	96.975441	66
2	1	40	0	0	0	774	1822	32	23	-1	
3	1	40	1	0	0	774	1822	32	23	-1	
4	1	40	1	1	0	774	1822	32	23	-1	
5	1	40	1	1	1	774	1822	32	23	96.133041	67
2	1	41	0	0	0	589	1858	32	24	-1	
3	1	41	1	0	0	589	1858	32	24	-1	
4	1	41	1	1	0	589	1858	32	24	-1	
5	1	41	1	1	1	589	1858	32	24	95.474464	70
2	1	42	0	0	0	682	1878	33	24	-1	
3	1	42	1	0	0	682	1878	33	24	-1	
4	1	42	1	1	0	682	1878	33	24	-1	
5	1	42	1	1	1	682	1878	33	24	91.464218	72
2	1	43	0	0	0	1018	1858	103	26	-1	
3	1	43	1	0	0	1018	1858	103	26	-1	
4	1	43	1	1	0	1018	1858	103	26	-1	
5	1	43	1	1	1	1018	1858	103	26	0.000000	6869
2	1	44	0	0	0	801	1926	33	23	-1	
3	1	44	1	0	0	801	1926	33	23	-1	
4	1	44	1	1	0	801	1926	33	23	-1	
5	1	44	1	1	1	801	1926	33	23	95.910797	78
2	1	45	0	0	0	1001	1912	33	25	-1	
3	1	45	1	0	0	1001	1912	33	25	-1	
4	1	45	1	1	0	1001	1912	33	25	-1	
5	1	45	1	1	1	1001	1912	33	25	92.710014	75
2	1	46	0	0	0	1255	1915	32	25	-1	
3	1	46	1	0	0	1255	1915	32	25	-1	
4	1	46	1	1	0	1255	1915	32	25	-1	
5	1	46	1	1	1	1255	1915	32	25	96.365013	76
2	1	47	0	0	0	611	1923	75	36	-1	
3	1	47	1	0	0	611	1923	75	36	-1	
4	1	47	1	1	0	611	1923	75	36	-1	
5	1	47	1	1	1	611	1923	75	36	0.000000	4
2	1	48	0	0	0	1445	1953	32	24	-1	
3	1	48	1	0	0	1445	1953	32	24	-1	
4	1	48	1	1	0	1445	1953	32	24	-1	
5	1	48	1	1	1	1445	1953	32	24	96.519653	80
2	1	49	0	0	0	1883	1956	27	25	-1	
3	1	49	1	0	0	1883	1956	27	25	-1	
4	1	49	1	1	0	1883	1956	27	25	-1	
5	1	49	1	1	1	1883	1956	27	25	93.061378	81
2	1	50	0	0	0	594	2001	33	24	-1	
3	1	50	1	0	0	594	2001	33	24	-1	
4	1	50	1	1	0	594	2001	33	24	-1	
5	1	50	1	1	1	594	2001	33	24	96.480637	89
2	1	51	0	0	0	1244	1961	102	70	-1	
3	1	51	1	0	0	1244	1961	102	70	-1	
4	1	51	1	1	0	1244	1961	102	70	-1	
5	1	51	1	1	1	1244	1961	102	70	0.000000	66
2	1	52	0	0	0	1190	2037	230	44	-1	
3	1	52	1	0	0	1190	2037	230	44	-1	
4	1	52	1	1	0	1190	2037	230	44	-1	
5	1	52	1	1	1	1190	2037	230	44	10.424280	1
2	1	53	0	0	0	755	2071	46	72	-1	
3	1	53	1	0	0	755	2071	46	72	-1	
4	1	53	1	1	0	755	2071	46	72	-1	
5	1	53	1	1	1	755	2071	46	72	30.088486	2
2	1	54	0	0	0	815	2100	85	32	-1	
3	1	54	1	0	0	815	2100	85	32	-1	
4	1	54	1	1	0	815	2100	85	32	-1	
5	1	54	1	1	1	815	2100	85	32	0.000000	98
2	1	55	0	0	0	512	2117	115	50	-1	
3	1	55	1	0	0	512	2117	115	50	-1	
4	1	55	1	1	0	512	2117	115	50	-1	
5	1	55	1	1	1	512	2117	115	50	0.000000	400101
2	1	56	0	0	0	1216	2141	48	23	-1	
3	1	56	1	0	0	1216	2141	48	23	-1	
4	1	56	1	1	0	1216	2141	48	23	-1	
5	1	56	1	1	1	1216	2141	48	23	96.927139	103
2	1	57	0	0	0	819	2157	87	50	-1	
3	1	57	1	0	0	819	2157	87	50	-1	
4	1	57	1	1	0	819	2157	87	50	-1	
5	1	57	1	1	1	819	2157	87	50	0.000000	104
2	1	58	0	0	0	1112	2211	47	24	-1	
3	1	58	1	0	0	1112	2211	47	24	-1	
4	1	58	1	1	0	1112	2211	47	24	-1	
5	1	58	1	1	1	1112	2211	47	24	96.771774	106
2	1	59	0	0	0	826	2296	47	24	-1	
3	1	59	1	0	0	826	2296	47	24	-1	
4	1	59	1	1	0	826	2296	47	24	-1	
5	1	59	1	1	1	826	2296	47	24	96.592941	108
2	1	60	0	0	0	656	2349	45	24	-1	
3	1	60	1	0	0	656	2349	45	24	-1	
4	1	60	1	1	0	656	2349	45	24	-1	
5	1	60	1	1	1	656	2349	45	24	96.222832	112
2	1	61	0	0	0	192	2372	44	24	-1	
3	1	61	1	0	0	192	2372	44	24	-1	
4	1	61	1	1	0	192	2372	44	24	-1	
5	1	61	1	1	1	192	2372	44	24	96.980469	116
2	1	62	0	0	0	558	2379	46	24	-1	
3	1	62	1	0	0	558	2379	46	24	-1	
4	1	62	1	1	0	558	2379	46	24	-1	
5	1	62	1	1	1	558	2379	46	24	94.810936	115
2	1	63	0	0	0	1007	2329	46	34	-1	
3	1	63	1	0	0	1007	2315	198	84	-1	
4	1	63	1	1	0	1007	2329	46	34	-1	
5	1	63	1	1	1	1007	2329	46	34	79.881378	110
2	1	64	0	0	0	170	2414	45	25	-1	
3	1	64	1	0	0	170	2414	45	25	-1	
4	1	64	1	1	0	170	2414	45	25	-1	
5	1	64	1	1	1	170	2414	45	25	96.964523	118
2	1	65	0	0	0	382	2351	68	29	-1	
3	1	65	1	0	0	292	2351	158	75	-1	
4	1	65	1	1	0	382	2351	68	29	-1	
5	1	65	1	1	1	382	2351	68	29	0.000000	3
2	1	66	0	0	0	1306	2395	48	33	-1	
3	1	66	1	0	0	1306	2395	48	33	-1	
4	1	66	1	1	0	1306	2395	48	33	-1	
5	1	66	1	1	1	1306	2395	48	33	79.416191	417
2	1	67	0	0	0	1214	2437	45	24	-1	
3	1	67	1	0	0	1214	2437	45	24	-1	
4	1	67	1	1	0	1214	2437	45	24	-1	
5	1	67	1	1	1	1214	2437	45	24	96.742241	119
2	1	68	0	0	0	1584	2478	52	46	-1	
3	1	68	1	0	0	1584	2478	52	46	-1	
4	1	68	1	1	0	1584	2478	52	46	-1	
5	1	68	1	1	1	1584	2478	52	46	86.858368	421
2	1	69	0	0	0	387	2553	48	24	-1	
3	1	69	1	0	0	387	2553	48	24	-1	
4	1	69	1	1	0	387	2553	48	24	-1	
5	1	69	1	1	1	387	2553	48	24	96.920517	123
2	1	70	0	0	0	1335	2596	47	23	-1	
3	1	70	1	0	0	1335	2596	47	23	-1	
4	1	70	1	1	0	1335	2596	47	23	-1	
5	1	70	1	1	1	1335	2596	47	23	96.749153	125
2	1	71	0	0	0	1494	2652	48	24	-1	
3	1	71	1	0	0	1494	2652	48	24	-1	
4	1	71	1	1	0	1494	2652	48	24	-1	
5	1	71	1	1	1	1494	2652	48	24	88.738914	126
2	1	72	0	0	0	1408	2803	67	46	-1	
3	1	72	1	0	0	1408	2803	67	46	-1	
4	1	72	1	1	0	1408	2803	67	46	-1	
5	1	72	1	1	1	1408	2803	67	46	51.908844	128
2	1	73	0	0	0	1484	2901	77	45	-1	
3	1	73	1	0	0	1484	2901	77	45	-1	
4	1	73	1	1	0	1484	2901	77	45	-1	
5	1	73	1	1	1	1484	2901	77	45	68.114204	1297
2	1	74	0	0	0	1329	2953	44	25	-1	
3	1	74	1	0	0	1329	2953	44	25	-1	
4	1	74	1	1	0	1329	2953	44	25	-1	
5	1	74	1	1	1	1329	2953	44	25	94.238228	131
2	1	75	0	0	0	1536	2950	47	24	-1	
3	1	75	1	0	0	1536	2950	47	24	-1	
4	1	75	1	1	0	1536	2950	47	24	-1	
5	1	75	1	1	1	1536	2950	47	24	96.105598	130
2	1	76	0	0	0	1505	3036	47	25	-1	
3	1	76	1	0	0	1505	3036	47	25	-1	
4	1	76	1	1	0	1505	3036	47	25	-1	
5	1	76	1	1	1	1505	3036	47	25	95.389648	132
